
2023/10/17 (18:06:23) | ===> btop++ v.1.2.13
2023/10/17 (18:06:23) | INFO: Logger set to DEBUG
2023/10/17 (18:06:23) | DEBUG: Using locale en_US.UTF-8
2023/10/17 (18:06:23) | INFO: Running on /dev/pts/2
2023/10/17 (18:06:24) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme

2023/10/17 (18:07:09) | ===> btop++ v.1.2.13
2023/10/17 (18:07:09) | INFO: Logger set to DEBUG
2023/10/17 (18:07:09) | DEBUG: Using locale en_US.UTF-8
2023/10/17 (18:07:09) | INFO: Running on /dev/pts/2
2023/10/17 (18:07:09) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme

2023/10/17 (18:16:51) | ===> btop++ v.1.2.13
2023/10/17 (18:16:51) | INFO: Logger set to DEBUG
2023/10/17 (18:16:51) | DEBUG: Using locale en_US.UTF-8
2023/10/17 (18:16:51) | INFO: Running on /dev/pts/2
2023/10/17 (18:16:51) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme

2023/10/18 (10:14:12) | ===> btop++ v.1.2.13
2023/10/18 (10:14:12) | INFO: Logger set to DEBUG
2023/10/18 (10:14:12) | DEBUG: Using locale en_US.UTF-8
2023/10/18 (10:14:12) | INFO: Running on /dev/pts/3
2023/10/18 (10:14:12) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme

2023/10/18 (16:02:27) | ===> btop++ v.1.2.13
2023/10/18 (16:02:27) | INFO: Logger set to DEBUG
2023/10/18 (16:02:27) | DEBUG: Using locale en_US.UTF-8
2023/10/18 (16:02:27) | INFO: Running on /dev/pts/1
2023/10/18 (16:02:27) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme

2023/10/19 (09:57:11) | ===> btop++ v.1.2.13
2023/10/19 (09:57:11) | INFO: Logger set to DEBUG
2023/10/19 (09:57:11) | DEBUG: Using locale en_US.UTF-8
2023/10/19 (09:57:11) | INFO: Running on /dev/pts/1
2023/10/19 (09:57:11) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme

2023/10/19 (13:06:25) | ===> btop++ v.1.2.13
2023/10/19 (13:06:25) | INFO: Logger set to DEBUG
2023/10/19 (13:06:25) | DEBUG: Using locale en_US.UTF-8
2023/10/19 (13:06:25) | INFO: Running on /dev/pts/7
2023/10/19 (13:06:25) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme

2023/10/19 (13:06:56) | ===> btop++ v.1.2.13
2023/10/19 (13:06:56) | INFO: Logger set to DEBUG
2023/10/19 (13:06:56) | DEBUG: Using locale en_US.UTF-8
2023/10/19 (13:06:56) | INFO: Running on /dev/pts/7
2023/10/19 (13:06:56) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme

2023/10/19 (13:07:51) | ===> btop++ v.1.2.13
2023/10/19 (13:07:51) | INFO: Logger set to DEBUG
2023/10/19 (13:07:51) | DEBUG: Using locale en_US.UTF-8
2023/10/19 (13:07:51) | INFO: Running on /dev/pts/7
2023/10/19 (13:07:51) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme

2023/10/19 (13:46:14) | ===> btop++ v.1.2.13
2023/10/19 (13:46:14) | INFO: Logger set to DEBUG
2023/10/19 (13:46:14) | DEBUG: Using locale en_US.UTF-8
2023/10/19 (13:46:14) | INFO: Running on /dev/pts/9
2023/10/19 (13:46:14) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme

2023/10/20 (17:03:26) | ===> btop++ v.1.2.13
2023/10/20 (17:03:26) | INFO: Logger set to DEBUG
2023/10/20 (17:03:26) | DEBUG: Using locale en_US.UTF-8
2023/10/20 (17:03:26) | INFO: Running on /dev/pts/1
2023/10/20 (17:03:26) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme

2023/10/20 (17:24:11) | ===> btop++ v.1.2.13
2023/10/20 (17:24:11) | INFO: Logger set to DEBUG
2023/10/20 (17:24:11) | DEBUG: Using locale en_US.UTF-8
2023/10/20 (17:24:11) | INFO: Running on /dev/pts/0
2023/10/20 (17:24:11) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme

2023/10/23 (16:19:42) | ===> btop++ v.1.2.13
2023/10/23 (16:19:42) | INFO: Logger set to DEBUG
2023/10/23 (16:19:42) | DEBUG: Using locale en_US.UTF-8
2023/10/23 (16:19:42) | INFO: Running on /dev/pts/1
2023/10/23 (16:19:42) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme

2023/10/24 (18:09:14) | ===> btop++ v.1.2.13
2023/10/24 (18:09:14) | INFO: Logger set to DEBUG
2023/10/24 (18:09:14) | DEBUG: Using locale en_US.UTF-8
2023/10/24 (18:09:14) | INFO: Running on /dev/pts/1
2023/10/24 (18:09:14) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
